Category,Item,Serving Size,Cholesterol,Carbohydrates
Beverages,Dasani Water Bottle,16.9 fl oz,0,0
Coffee & Tea,Iced Tea (Small),16 fl oz cup,0,0
Coffee & Tea,Iced Tea (Medium),21 fl oz cup,0,0
Coffee & Tea,Iced Tea (Large),30 fl oz cup,0,0
Coffee & Tea,Iced Tea (Child),12 fl oz cup,0,0
Coffee & Tea,Sweet Tea (Small),16 fl oz cup,0,0.255319
Coffee & Tea,Sweet Tea (Medium),21 fl oz cup,0,0.319149
Coffee & Tea,Sweet Tea (Large),30 fl oz cup,0,0.382979
Coffee & Tea,Sweet Tea (Child),12 fl oz cup,0,0.191489
Coffee & Tea,Coffee (Small),12 fl oz cup,0,0
Coffee & Tea,Coffee (Medium),16 fl oz cup,0,0
Coffee & Tea,Coffee (Large),16 fl oz cup,0,0
Coffee & Tea,Latte (Small),12 fl oz cup,0.0434783,0.106383
Coffee & Tea,Latte (Medium),16 fl oz cup,0.0521739,0.12766
Coffee & Tea,Latte (Large),20 fl oz cup,0.0695652,0.170213
Coffee & Tea,Caramel Latte (Small),12 fl oz cup,0.0434783,0.283688
Coffee & Tea,Caramel Latte (Medium),16 fl oz cup,0.0521739,0.35461
Coffee & Tea,Caramel Latte (Large),20 fl oz cup,0.0695652,0.439716
Coffee & Tea,Hazelnut Latte (Small),12 fl oz cup,0.0434783,0.283688
Coffee & Tea,Hazelnut Latte (Medium),16 fl oz cup,0.0521739,0.35461
Coffee & Tea,Hazelnut Latte (Large),20 fl oz cup,0.0695652,0.439716
Coffee & Tea,French Vanilla Latte (Small),12 fl oz cup,0.0434783,0.269504
Coffee & Tea,French Vanilla Latte (Medium),16 fl oz cup,0.0521739,0.340426
Coffee & Tea,French Vanilla Latte (Large),20 fl oz cup,0.0695652,0.425532
Coffee & Tea,Latte with Sugar Free French Vanilla Syrup (Small),12 fl oz cup,0.0434783,0.170213
Coffee & Tea,Latte with Sugar Free French Vanilla Syrup (Medium),16 fl oz cup,0.0521739,0.205674
Coffee & Tea,Latte with Sugar Free French Vanilla Syrup (Large),20 fl oz cup,0.0695652,0.262411
Coffee & Tea,Nonfat Latte (Small),12 fl oz cup,0.00869565,0.106383
Coffee & Tea,Nonfat Latte (Medium),16 fl oz cup,0.00869565,0.134752
Coffee & Tea,Nonfat Latte (Large),20 fl oz cup,0.0173913,0.177305
Coffee & Tea,Nonfat Caramel Latte (Small),12 fl oz cup,0.00869565,0.29078
Coffee & Tea,Nonfat Caramel Latte (Medium),16 fl oz cup,0.00869565,0.361702
Coffee & Tea,Nonfat Caramel Latte (Large),20 fl oz cup,0.0173913,0.446809
Coffee & Tea,Nonfat Hazelnut Latte (Small),12 fl oz cup,0.00869565,0.283688
Coffee & Tea,Nonfat Hazelnut Latte (Medium),16 fl oz cup,0.00869565,0.361702
Coffee & Tea,Nonfat Hazelnut Latte (Large),20 fl oz cup,0.0173913,0.446809
Coffee & Tea,Nonfat French Vanilla Latte (Small),12 fl oz cup,0.00869565,0.276596
Coffee & Tea,Nonfat French Vanilla Latte (Medium),16 fl oz cup,0.00869565,0.347518
Coffee & Tea,Nonfat French Vanilla Latte (Large),20 fl oz cup,0.0173913,0.425532
Coffee & Tea,Nonfat Latte with Sugar Free French Vanilla Syrup (Small),12 fl oz cup,0.00869565,0.170213
Coffee & Tea,Nonfat Latte with Sugar Free French Vanilla Syrup (Medium),16 fl oz cup,0.00869565,0.212766
Coffee & Tea,Nonfat Latte with Sugar Free French Vanilla Syrup (Large),20 fl oz cup,0.0173913,0.269504
Coffee & Tea,Mocha (Small),12 fl oz cup,0.0608696,0.347518
Coffee & Tea,Mocha (Medium),16 fl oz cup,0.0695652,0.425532
Coffee & Tea,Mocha (Large),20 fl oz cup,0.0869565,0.510638
Coffee & Tea,Mocha with Nonfat Milk (Small),12 fl oz cup,0.026087,0.347518
Coffee & Tea,Mocha with Nonfat Milk (Medium),16 fl oz cup,0.026087,0.425532
Coffee & Tea,Mocha with Nonfat Milk (Large),20 fl oz cup,0.0347826,0.51773
Coffee & Tea,Caramel Mocha (Small),12 fl oz cup,0.0608696,0.319149
Coffee & Tea,Caramel Mocha (Medium),16 fl oz cup,0.0695652,0.390071
Coffee & Tea,Caramel Mocha (Large),20 fl oz cup,0.0869565,0.468085
Coffee & Tea,Nonfat Caramel Mocha (Small),12 fl oz cup,0.026087,0.319149
Coffee & Tea,Nonfat Caramel Mocha (Medium),16 fl oz cup,0.026087,0.397163
Coffee & Tea,Nonfat Caramel Mocha (Large),20 fl oz cup,0.0347826,0.475177
Coffee & Tea,Hot Chocolate (Small),12 fl oz cup,0.0695652,0.35461
Coffee & Tea,Hot Chocolate (Medium),16 fl oz cup,0.0869565,0.432624
Coffee & Tea,Hot Chocolate (Large),20 fl oz cup,0.104348,0.51773
Coffee & Tea,Hot Chocolate with Nonfat Milk (Small),12 fl oz cup,0.026087,0.35461
Coffee & Tea,Hot Chocolate with Nonfat Milk (Medium),16 fl oz cup,0.026087,0.432624
Coffee & Tea,Hot Chocolate with Nonfat Milk (Large),20 fl oz cup,0.0347826,0.524823
Coffee & Tea,Regular Iced Coffee (Small),16 fl oz cup,0.026087,0.163121
Coffee & Tea,Regular Iced Coffee (Medium),22 fl oz cup,0.0434783,0.219858
Coffee & Tea,Regular Iced Coffee (Large),32 fl oz cup,0.0608696,0.333333
Coffee & Tea,Caramel Iced Coffee (Small),16 fl oz cup,0.026087,0.156028
Coffee & Tea,Caramel Iced Coffee (Medium),22 fl oz cup,0.0434783,0.205674
Coffee & Tea,Caramel Iced Coffee (Large),32 fl oz cup,0.0608696,0.304965
Coffee & Tea,Hazelnut Iced Coffee (Small),16 fl oz cup,0.026087,0.148936
Coffee & Tea,Hazelnut Iced Coffee (Medium),22 fl oz cup,0.0434783,0.205674
Coffee & Tea,Hazelnut Iced Coffee (Large),32 fl oz cup,0.0608696,0.304965
Coffee & Tea,French Vanilla Iced Coffee (Small),16 fl oz cup,0.026087,0.141844
Coffee & Tea,French Vanilla Iced Coffee (Medium),22 fl oz cup,0.0434783,0.191489
Coffee & Tea,French Vanilla Iced Coffee (Large),32 fl oz cup,0.0608696,0.29078
Coffee & Tea,Iced Coffee with Sugar Free French Vanilla Syrup (Small),16 fl oz cup,0.026087,0.0638298
Coffee & Tea,Iced Coffee with Sugar Free French Vanilla Syrup (Medium),22 fl oz cup,0.0434783,0.0851064
Coffee & Tea,Iced Coffee with Sugar Free French Vanilla Syrup (Large),32 fl oz cup,0.0608696,0.12766
Coffee & Tea,Iced Mocha (Small),12 fl oz cup,0.0608696,0.29078
Coffee & Tea,Iced Mocha (Medium),16 fl oz cup,0.0695652,0.35461
Coffee & Tea,Iced Mocha (Large),22 fl oz cup,0.0869565,0.496454
Coffee & Tea,Iced Mocha with Nonfat Milk (Small),12 fl oz cup,0.0347826,0.29078
Coffee & Tea,Iced Mocha with Nonfat Milk (Medium),16 fl oz cup,0.0347826,0.35461
Coffee & Tea,Iced Mocha with Nonfat Milk (Large),22 fl oz cup,0.0434783,0.503546
Coffee & Tea,Iced Caramel Mocha (Small),12 fl oz cup,0.0608696,0.269504
Coffee & Tea,Iced Caramel Mocha (Medium),16 fl oz cup,0.0695652,0.326241
Coffee & Tea,Iced Caramel Mocha (Large),22 fl oz cup,0.0869565,0.460993
Coffee & Tea,Iced Nonfat Caramel Mocha (Small),12 fl oz cup,0.0347826,0.269504
Coffee & Tea,Iced Nonfat Caramel Mocha (Medium),16 fl oz cup,0.0347826,0.333333
Coffee & Tea,Iced Nonfat Caramel Mocha (Large),22 fl oz cup,0.0434783,0.460993
Coffee & Tea,Frappé Mocha (Small),12 fl oz cup,0.113043,0.460993
Coffee & Tea,Frappé Mocha (Medium),16 fl oz cup,0.130435,0.567376
Coffee & Tea,Frappé Mocha (Large),22 fl oz cup,0.156522,0.695035
Coffee & Tea,Frappé Caramel (Small),12 fl oz cup,0.113043,0.453901
Coffee & Tea,Frappé Caramel (Medium),16 fl oz cup,0.13913,0.560284
Coffee & Tea,Frappé Caramel (Large),22 fl oz cup,0.165217,0.680851
Coffee & Tea,Frappé Chocolate Chip (Small),12 fl oz cup,0.113043,0.539007
Coffee & Tea,Frappé Chocolate Chip (Medium),16 fl oz cup,0.13913,0.64539
Coffee & Tea,Frappé Chocolate Chip (Large),22 fl oz cup,0.165217,0.787234
Smoothies & Shakes,Blueberry Pomegranate Smoothie (Small),12 fl oz cup,0.00869565,0.35461
Smoothies & Shakes,Blueberry Pomegranate Smoothie (Medium),16 fl oz cup,0.00869565,0.439716
Smoothies & Shakes,Blueberry Pomegranate Smoothie (Large),22 fl oz cup,0.00869565,0.560284
Smoothies & Shakes,Strawberry Banana Smoothie (Small),12 fl oz cup,0.00869565,0.333333
Smoothies & Shakes,Strawberry Banana Smoothie (Medium),16 fl oz cup,0.00869565,0.411348
Smoothies & Shakes,Strawberry Banana Smoothie (Large),22 fl oz cup,0.00869565,0.524823
Smoothies & Shakes,Mango Pineapple Smoothie (Small),12 fl oz cup,0.00869565,0.35461
Smoothies & Shakes,Mango Pineapple Smoothie (Medium),16 fl oz cup,0.00869565,0.432624
Smoothies & Shakes,Mango Pineapple Smoothie (Large),22 fl oz cup,0.00869565,0.553191
Smoothies & Shakes,Vanilla Shake (Small),12 fl oz cup,0.104348,0.609929
Smoothies & Shakes,Vanilla Shake (Medium),16 fl oz cup,0.130435,0.77305
Smoothies & Shakes,Vanilla Shake (Large),22 fl oz cup,0.156522,0.957447
Smoothies & Shakes,Strawberry Shake (Small),12 fl oz cup,0.104348,0.638298
Smoothies & Shakes,Strawberry Shake (Medium),16 fl oz cup,0.130435,0.808511
Smoothies & Shakes,Strawberry Shake (Large),22 fl oz cup,0.156522,0.992908
Smoothies & Shakes,Chocolate Shake (Small),12 fl oz cup,0.104348,0.64539
Smoothies & Shakes,Chocolate Shake (Medium),16 fl oz cup,0.130435,0.808511
Smoothies & Shakes,Chocolate Shake (Large),22 fl oz cup,0.147826,1
Smoothies & Shakes,Shamrock Shake (Medium),16 fl oz cup,0.130435,0.77305
Smoothies & Shakes,Shamrock Shake (Large),22 fl oz cup,0.156522,0.957447
Smoothies & Shakes,McFlurry with M&M’s Candies (Small),10.9 oz (310 g),0.0869565,0.680851
Smoothies & Shakes,McFlurry with M&M’s Candies (Medium),16.2 oz (460 g),0.130435,0.985816
Smoothies & Shakes,McFlurry with M&M’s Candies (Snack),7.3 oz (207 g),0.0608696,0.453901
Smoothies & Shakes,McFlurry with Oreo Cookies (Small),10.1 oz (285 g),0.0782609,0.567376
Smoothies & Shakes,McFlurry with Oreo Cookies (Medium),13.4 oz (381 g),0.0956522,0.751773
Smoothies & Shakes,McFlurry with Oreo Cookies (Snack),6.7 oz (190 g),0.0521739,0.375887
Smoothies & Shakes,McFlurry with Reese's Peanut Butter Cups (Medium),14.2 oz (403 g),0.104348,0.808511
Smoothies & Shakes,McFlurry with Reese's Peanut Butter Cups (Snack),7.1 oz (202 g),0.0521739,0.404255
