Category,Item,Serving Size,Cholesterol,Carbohydrates
Breakfast,Big Breakfast (Large Biscuit),10 oz (283 g),555,56
Breakfast,Big Breakfast with Egg Whites (Regular Biscuit),9.6 oz (272 g),35,50
Breakfast,Big Breakfast with Egg Whites (Large Biscuit),10.1 oz (286 g),35,55
Breakfast,Big Breakfast with Hotcakes (Regular Biscuit),14.8 oz (420 g),575,111
Breakfast,Big Breakfast with Hotcakes (Large Biscuit),15.3 oz (434 g),575,116
Breakfast,Big Breakfast with Hotcakes and Egg Whites (Regular Biscuit),14.9 oz (423 g),55,110
Breakfast,Big Breakfast with Hotcakes and Egg Whites (Large Biscuit),15.4 oz (437 g),55,115
Breakfast,Hotcakes,5.3 oz (151 g),20,60
Breakfast,Hotcakes and Sausage,6.8 oz (192 g),50,61
Breakfast,Sausage Burrito,3.9 oz (111 g),115,26
Breakfast,Hash Brown,2 oz (56 g),0,15
Breakfast,Cinnamon Melts,4 oz (114 g),15,66
Breakfast,Fruit & Maple Oatmeal,9.6 oz (251 g),5,58
Breakfast,Fruit & Maple Oatmeal without Brown Sugar,9.6 oz (251 g),5,49
Beef & Pork,Big Mac,7.4 oz (211 g),85,47
Beef & Pork,Quarter Pounder with Cheese,7.1 oz (202 g),95,41
Beef & Pork,Quarter Pounder with Bacon & Cheese,8 oz (227 g),105,48
Beef & Pork,Quarter Pounder with Bacon Habanero Ranch,8.3 oz (235 g),105,46
Beef & Pork,Quarter Pounder Deluxe,8.6 oz (244 g),85,45
Beef & Pork,Double Quarter Pounder with Cheese,10 oz (283 g),160,42
Beef & Pork,Hamburger,3.5 oz (98 g),30,32
Beef & Pork,Cheeseburger,4 oz (113 g),45,33
Beef & Pork,Double Cheeseburger,5.7 oz (161 g),90,35
Beef & Pork,Bacon Clubhouse Burger,9.5 oz (270 g),115,51
Beef & Pork,McDouble,5.2 oz (147 g),75,34
Beef & Pork,Bacon McDouble,5.7 oz (161 g),90,35
Beef & Pork,Daily Double,6.7 oz (190 g),80,34
Beef & Pork,Jalapeño Double,5.6 oz (159 g),80,35
Beef & Pork,McRib,7.3 oz (208 g),70,44
Chicken & Fish,Premium Crispy Chicken Classic Sandwich,7.5 oz (213 g),45,55
Chicken & Fish,Premium Grilled Chicken Classic Sandwich,7 oz (200 g),65,42
Chicken & Fish,Premium Crispy Chicken Club Sandwich,8.8 oz (249 g),85,58
Chicken & Fish,Premium Grilled Chicken Club Sandwich,8.3 oz (235 g),105,44
Chicken & Fish,Premium Crispy Chicken Ranch BLT Sandwich,8.1 oz (230 g),70,57
Chicken & Fish,Premium Grilled Chicken Ranch BLT Sandwich,7.6 oz (217 g),90,43
Chicken & Fish,Bacon Clubhouse Crispy Chicken Sandwich,10 oz (284 g),90,65
Chicken & Fish,Bacon Clubhouse Grilled Chicken Sandwich,9.5 oz (270 g),110,51
Chicken & Fish,Southern Style Crispy Chicken Sandwich,5.6 oz (160 g),45,43
Chicken & Fish,McChicken,5.1 oz (143 g),35,40
Chicken & Fish,Bacon Cheddar McChicken,6 oz (171 g),65,43
Chicken & Fish,Bacon Buffalo Ranch McChicken,5.7 oz (161 g),50,41
Chicken & Fish,Buffalo Ranch McChicken,5.2 oz (148 g),35,40
Chicken & Fish,Premium McWrap Chicken & Bacon (Crispy Chicken),11.1 oz (316 g),80,56
Chicken & Fish,Premium McWrap Chicken & Bacon (Grilled Chicken),10.7 oz (302 g),95,42
Chicken & Fish,Premium McWrap Chicken & Ranch (Crispy Chicken),10.9 oz (310 g),65,56
Chicken & Fish,Premium McWrap Chicken & Ranch (Grilled Chicken),10.5 oz (297 g),80,42
Chicken & Fish,Premium McWrap Southwest Chicken (Crispy Chicken),11.1 oz (314 g),60,68
Chicken & Fish,Premium McWrap Southwest Chicken (Grilled Chicken),11.2 oz (318 g),80,55
Chicken & Fish,Premium McWrap Chicken Sweet Chili (Crispy Chicken),10.7 oz (304 g),50,61
Chicken & Fish,Premium McWrap Chicken Sweet Chili (Grilled Chicken),10.3 oz (291 g),65,47
Chicken & Fish,Chicken McNuggets (4 piece),2.3 oz (65 g),25,12
Chicken & Fish,Chicken McNuggets (6 piece),3.4 oz (97 g),40,18
Chicken & Fish,Chicken McNuggets (10 piece),5.7 oz (162 g),65,30
Chicken & Fish,Chicken McNuggets (20 piece),11.4 oz (323 g),135,59
Chicken & Fish,Chicken McNuggets (40 piece),22.8 oz (646 g),265,118
Chicken & Fish,Filet-O-Fish,5 oz (142 g),40,39
Salads,Premium Bacon Ranch Salad (without Chicken),7.9 oz (223 g),25,10
Salads,Premium Bacon Ranch Salad with Crispy Chicken,9 oz (255 g),70,22
Salads,Premium Bacon Ranch Salad with Grilled Chicken,8.5 oz (241 g),85,8
Salads,Premium Southwest Salad (without Chicken),8.1 oz (230 g),10,20
Salads,Premium Southwest Salad with Crispy Chicken,12.3 oz (348 g),50,42
Salads,Premium Southwest Salad with Grilled Chicken,11.8 oz (335 g),70,28
Snacks & Sides,Chipotle BBQ Snack Wrap (Crispy Chicken),4.6 oz (130 g),30,37
Snacks & Sides,Chipotle BBQ Snack Wrap (Grilled Chicken),4.3 oz (123 g),40,30
Snacks & Sides,Honey Mustard Snack Wrap (Crispy Chicken),4.3 oz (123 g),35,34
Snacks & Sides,Honey Mustard Snack Wrap (Grilled Chicken),4.1 oz (116 g),45,27
Snacks & Sides,Ranch Snack Wrap (Crispy Chicken),4.5 oz (128 g),40,32
Snacks & Sides,Ranch Snack Wrap (Grilled Chicken),4.3 oz (121 g),45,25
Snacks & Sides,Small French Fries,2.6 oz (75 g),0,30
Snacks & Sides,Medium French Fries,3.9 oz (111 g),0,44
Snacks & Sides,Large French Fries,5.9 oz (168 g),0,67
Snacks & Sides,Kids French Fries,1.3 oz (38 g),0,15
Snacks & Sides,Side Salad,3.1 oz (87 g),0,4
Snacks & Sides,Apple Slices,1.2 oz (34 g),0,4
Snacks & Sides,Fruit 'n Yogurt Parfait,5.2 oz (149 g),5,30
Desserts,Baked Apple Pie,2.7 oz (77 g),0,32
Desserts,Chocolate Chip Cookie,1 cookie (33 g),10,21
Desserts,Oatmeal Raisin Cookie,1 cookie (33 g),10,22
Desserts,Kids Ice Cream Cone,1 oz (29 g),5,7
Desserts,Hot Fudge Sundae,6.3 oz (179 g),25,53
Desserts,Hot Caramel Sundae,6.4 oz (182 g),30,60
Desserts,Strawberry Sundae,6.3 oz (178 g),25,49
Beverages,Coca-Cola Classic (Small),16 fl oz cup,0,39
Beverages,Coca-Cola Classic (Medium),21 fl oz cup,0,55
Beverages,Coca-Cola Classic (Large),30 fl oz cup,0,76
Beverages,Coca-Cola Classic (Child),12 fl oz cup,0,28
Beverages,Diet Coke (Small),16 fl oz cup,0,0
Beverages,Diet Coke (Medium),21 fl oz cup,0,0
Beverages,Diet Coke (Large),30 fl oz cup,0,0
Beverages,Diet Coke (Child),12 fl oz cup,0,0
Beverages,Dr Pepper (Small),16 fl oz cup,0,37
Beverages,Dr Pepper (Medium),21 fl oz cup,0,53
Beverages,Dr Pepper (Large),30 fl oz cup,0,72
Beverages,Dr Pepper (Child),12 fl oz cup,0,27
Beverages,Diet Dr Pepper (Small),16 fl oz cup,0,0
Beverages,Diet Dr Pepper (Medium),21 fl oz cup,0,0
Beverages,Diet Dr Pepper (Large),30 fl oz cup,0,0
Beverages,Diet Dr Pepper (Child),12 fl oz cup,0,0
Beverages,Sprite (Small),16 fl oz cup,0,37
Beverages,Sprite (Medium),21 fl oz cup,0,54
Beverages,Sprite (Large),30 fl oz cup,0,74
Beverages,Sprite (Child),12 fl oz cup,0,27
Beverages,1% Low Fat Milk Jug,1 carton (236 ml),10,12
Beverages,Fat Free Chocolate Milk Jug,1 carton (236 ml),5,23
Beverages,Minute Maid 100% Apple Juice Box,6 fl oz (177 ml),0,21
Beverages,Minute Maid Orange Juice (Small),12 fl oz cup,0,34
Beverages,Minute Maid Orange Juice (Medium),16 fl oz cup,0,44
Beverages,Minute Maid Orange Juice (Large),22 fl oz cup,0,65
Beverages,Dasani Water Bottle,16.9 fl oz,0,0
Coffee & Tea,Iced Tea (Small),16 fl oz cup,0,0
Coffee & Tea,Iced Tea (Medium),21 fl oz cup,0,0
Coffee & Tea,Iced Tea (Large),30 fl oz cup,0,0
Coffee & Tea,Iced Tea (Child),12 fl oz cup,0,0
Coffee & Tea,Sweet Tea (Small),16 fl oz cup,0,36
Coffee & Tea,Sweet Tea (Medium),21 fl oz cup,0,45
Coffee & Tea,Sweet Tea (Large),30 fl oz cup,0,54
Coffee & Tea,Sweet Tea (Child),12 fl oz cup,0,27
Coffee & Tea,Coffee (Small),12 fl oz cup,0,0
Coffee & Tea,Coffee (Medium),16 fl oz cup,0,0
Coffee & Tea,Coffee (Large),16 fl oz cup,0,0
Coffee & Tea,Latte (Small),12 fl oz cup,25,15
Coffee & Tea,Latte (Medium),16 fl oz cup,30,18
Coffee & Tea,Latte (Large),20 fl oz cup,40,24
Coffee & Tea,Caramel Latte (Small),12 fl oz cup,25,40
Coffee & Tea,Caramel Latte (Medium),16 fl oz cup,30,50
Coffee & Tea,Caramel Latte (Large),20 fl oz cup,40,62
Coffee & Tea,Hazelnut Latte (Small),12 fl oz cup,25,40
Coffee & Tea,Hazelnut Latte (Medium),16 fl oz cup,30,50
Coffee & Tea,Hazelnut Latte (Large),20 fl oz cup,40,62
Coffee & Tea,French Vanilla Latte (Small),12 fl oz cup,25,38
Coffee & Tea,French Vanilla Latte (Medium),16 fl oz cup,30,48
Coffee & Tea,French Vanilla Latte (Large),20 fl oz cup,40,60
Coffee & Tea,Latte with Sugar Free French Vanilla Syrup (Small),12 fl oz cup,25,24
Coffee & Tea,Latte with Sugar Free French Vanilla Syrup (Medium),16 fl oz cup,30,29
Coffee & Tea,Latte with Sugar Free French Vanilla Syrup (Large),20 fl oz cup,40,37
Coffee & Tea,Nonfat Latte (Small),12 fl oz cup,5,15
Coffee & Tea,Nonfat Latte (Medium),16 fl oz cup,5,19
Coffee & Tea,Nonfat Latte (Large),20 fl oz cup,10,25
Coffee & Tea,Nonfat Caramel Latte (Small),12 fl oz cup,5,41
Coffee & Tea,Nonfat Caramel Latte (Medium),16 fl oz cup,5,51
Coffee & Tea,Nonfat Caramel Latte (Large),20 fl oz cup,10,63
Coffee & Tea,Nonfat Hazelnut Latte (Small),12 fl oz cup,5,40
Coffee & Tea,Nonfat Hazelnut Latte (Medium),16 fl oz cup,5,51
Coffee & Tea,Nonfat Hazelnut Latte (Large),20 fl oz cup,10,63
Coffee & Tea,Nonfat French Vanilla Latte (Small),12 fl oz cup,5,39
Coffee & Tea,Nonfat French Vanilla Latte (Medium),16 fl oz cup,5,49
Coffee & Tea,Nonfat French Vanilla Latte (Large),20 fl oz cup,10,60
Coffee & Tea,Nonfat Latte with Sugar Free French Vanilla Syrup (Small),12 fl oz cup,5,24
Coffee & Tea,Nonfat Latte with Sugar Free French Vanilla Syrup (Medium),16 fl oz cup,5,30
Coffee & Tea,Nonfat Latte with Sugar Free French Vanilla Syrup (Large),20 fl oz cup,10,38
Coffee & Tea,Mocha (Small),12 fl oz cup,35,49
Coffee & Tea,Mocha (Medium),16 fl oz cup,40,60
Coffee & Tea,Mocha (Large),20 fl oz cup,50,72
Coffee & Tea,Mocha with Nonfat Milk (Small),12 fl oz cup,15,49
Coffee & Tea,Mocha with Nonfat Milk (Medium),16 fl oz cup,15,60
Coffee & Tea,Mocha with Nonfat Milk (Large),20 fl oz cup,20,73
Coffee & Tea,Caramel Mocha (Small),12 fl oz cup,35,45
Coffee & Tea,Caramel Mocha (Medium),16 fl oz cup,40,55
Coffee & Tea,Caramel Mocha (Large),20 fl oz cup,50,66
Coffee & Tea,Nonfat Caramel Mocha (Small),12 fl oz cup,15,45
Coffee & Tea,Nonfat Caramel Mocha (Medium),16 fl oz cup,15,56
Coffee & Tea,Nonfat Caramel Mocha (Large),20 fl oz cup,20,67
Coffee & Tea,Hot Chocolate (Small),12 fl oz cup,40,50
Coffee & Tea,Hot Chocolate (Medium),16 fl oz cup,50,61
Coffee & Tea,Hot Chocolate (Large),20 fl oz cup,60,73
Coffee & Tea,Hot Chocolate with Nonfat Milk (Small),12 fl oz cup,15,50
Coffee & Tea,Hot Chocolate with Nonfat Milk (Medium),16 fl oz cup,15,61
Coffee & Tea,Hot Chocolate with Nonfat Milk (Large),20 fl oz cup,20,74
Coffee & Tea,Regular Iced Coffee (Small),16 fl oz cup,15,23
Coffee & Tea,Regular Iced Coffee (Medium),22 fl oz cup,25,31
Coffee & Tea,Regular Iced Coffee (Large),32 fl oz cup,35,47
Coffee & Tea,Caramel Iced Coffee (Small),16 fl oz cup,15,22
Coffee & Tea,Caramel Iced Coffee (Medium),22 fl oz cup,25,29
Coffee & Tea,Caramel Iced Coffee (Large),32 fl oz cup,35,43
Coffee & Tea,Hazelnut Iced Coffee (Small),16 fl oz cup,15,21
Coffee & Tea,Hazelnut Iced Coffee (Medium),22 fl oz cup,25,29
Coffee & Tea,Hazelnut Iced Coffee (Large),32 fl oz cup,35,43
Coffee & Tea,French Vanilla Iced Coffee (Small),16 fl oz cup,15,20
Coffee & Tea,French Vanilla Iced Coffee (Medium),22 fl oz cup,25,27
Coffee & Tea,French Vanilla Iced Coffee (Large),32 fl oz cup,35,41
Coffee & Tea,Iced Coffee with Sugar Free French Vanilla Syrup (Small),16 fl oz cup,15,9
Coffee & Tea,Iced Coffee with Sugar Free French Vanilla Syrup (Medium),22 fl oz cup,25,12
Coffee & Tea,Iced Coffee with Sugar Free French Vanilla Syrup (Large),32 fl oz cup,35,18
Coffee & Tea,Iced Mocha (Small),12 fl oz cup,35,41
Coffee & Tea,Iced Mocha (Medium),16 fl oz cup,40,50
Coffee & Tea,Iced Mocha (Large),22 fl oz cup,50,70
Coffee & Tea,Iced Mocha with Nonfat Milk (Small),12 fl oz cup,20,41
Coffee & Tea,Iced Mocha with Nonfat Milk (Medium),16 fl oz cup,20,50
Coffee & Tea,Iced Mocha with Nonfat Milk (Large),22 fl oz cup,25,71
Coffee & Tea,Iced Caramel Mocha (Small),12 fl oz cup,35,38
Coffee & Tea,Iced Caramel Mocha (Medium),16 fl oz cup,40,46
Coffee & Tea,Iced Caramel Mocha (Large),22 fl oz cup,50,65
Coffee & Tea,Iced Nonfat Caramel Mocha (Small),12 fl oz cup,20,38
Coffee & Tea,Iced Nonfat Caramel Mocha (Medium),16 fl oz cup,20,47
Coffee & Tea,Iced Nonfat Caramel Mocha (Large),22 fl oz cup,25,65
Coffee & Tea,Frappé Mocha (Small),12 fl oz cup,65,65
Coffee & Tea,Frappé Mocha (Medium),16 fl oz cup,75,80
Coffee & Tea,Frappé Mocha (Large),22 fl oz cup,90,98
Coffee & Tea,Frappé Caramel (Small),12 fl oz cup,65,64
Coffee & Tea,Frappé Caramel (Medium),16 fl oz cup,80,79
Coffee & Tea,Frappé Caramel (Large),22 fl oz cup,95,96
Coffee & Tea,Frappé Chocolate Chip (Small),12 fl oz cup,65,76
Coffee & Tea,Frappé Chocolate Chip (Medium),16 fl oz cup,80,91
Coffee & Tea,Frappé Chocolate Chip (Large),22 fl oz cup,95,111
Smoothies & Shakes,Blueberry Pomegranate Smoothie (Small),12 fl oz cup,5,50
Smoothies & Shakes,Blueberry Pomegranate Smoothie (Medium),16 fl oz cup,5,62
Smoothies & Shakes,Blueberry Pomegranate Smoothie (Large),22 fl oz cup,5,79
Smoothies & Shakes,Strawberry Banana Smoothie (Small),12 fl oz cup,5,47
Smoothies & Shakes,Strawberry Banana Smoothie (Medium),16 fl oz cup,5,58
Smoothies & Shakes,Strawberry Banana Smoothie (Large),22 fl oz cup,5,74
Smoothies & Shakes,Mango Pineapple Smoothie (Small),12 fl oz cup,5,50
Smoothies & Shakes,Mango Pineapple Smoothie (Medium),16 fl oz cup,5,61
Smoothies & Shakes,Mango Pineapple Smoothie (Large),22 fl oz cup,5,78
Smoothies & Shakes,Vanilla Shake (Small),12 fl oz cup,60,86
Smoothies & Shakes,Vanilla Shake (Medium),16 fl oz cup,75,109
Smoothies & Shakes,Vanilla Shake (Large),22 fl oz cup,90,135
Smoothies & Shakes,Strawberry Shake (Small),12 fl oz cup,60,90
Smoothies & Shakes,Strawberry Shake (Medium),16 fl oz cup,75,114
Smoothies & Shakes,Strawberry Shake (Large),22 fl oz cup,90,140
Smoothies & Shakes,Chocolate Shake (Small),12 fl oz cup,60,91
Smoothies & Shakes,Chocolate Shake (Medium),16 fl oz cup,75,114
Smoothies & Shakes,Chocolate Shake (Large),22 fl oz cup,85,141
Smoothies & Shakes,Shamrock Shake (Medium),16 fl oz cup,75,109
Smoothies & Shakes,Shamrock Shake (Large),22 fl oz cup,90,135
Smoothies & Shakes,McFlurry with M&M’s Candies (Small),10.9 oz (310 g),50,96
Smoothies & Shakes,McFlurry with M&M’s Candies (Medium),16.2 oz (460 g),75,139
Smoothies & Shakes,McFlurry with M&M’s Candies (Snack),7.3 oz (207 g),35,64
Smoothies & Shakes,McFlurry with Oreo Cookies (Small),10.1 oz (285 g),45,80
Smoothies & Shakes,McFlurry with Oreo Cookies (Medium),13.4 oz (381 g),55,106
Smoothies & Shakes,McFlurry with Oreo Cookies (Snack),6.7 oz (190 g),30,53
Smoothies & Shakes,McFlurry with Reese's Peanut Butter Cups (Medium),14.2 oz (403 g),60,114
Smoothies & Shakes,McFlurry with Reese's Peanut Butter Cups (Snack),7.1 oz (202 g),30,57
