Item,Dietary Fiber,Sugars
Iced Coffee with Sugar Free French Vanilla Syrup (Small),0,1
Iced Coffee with Sugar Free French Vanilla Syrup (Medium),0,2
Iced Coffee with Sugar Free French Vanilla Syrup (Large),0,2
Iced Mocha (Small),1,34
Iced Mocha (Medium),1,43
Iced Mocha (Large),2,62
Iced Mocha with Nonfat Milk (Small),1,35
Iced Mocha with Nonfat Milk (Medium),1,43
Iced Mocha with Nonfat Milk (Large),2,62
Iced Caramel Mocha (Small),0,33
Iced Caramel Mocha (Medium),1,41
Iced Caramel Mocha (Large),1,59
Iced Nonfat Caramel Mocha (Small),0,33
Iced Nonfat Caramel Mocha (Medium),1,41
Iced Nonfat Caramel Mocha (Large),1,59
Frappé Mocha (Small),1,57
Frappé Mocha (Medium),1,71
Frappé Mocha (Large),1,88
Frappé Caramel (Small),0,57
Frappé Caramel (Medium),0,71
Frappé Caramel (Large),0,88
Frappé Chocolate Chip (Small),1,67
Frappé Chocolate Chip (Medium),1,81
Frappé Chocolate Chip (Large),1,99
Blueberry Pomegranate Smoothie (Small),3,44
Blueberry Pomegranate Smoothie (Medium),4,54
Blueberry Pomegranate Smoothie (Large),5,70
Strawberry Banana Smoothie (Small),3,44
Strawberry Banana Smoothie (Medium),3,54
Strawberry Banana Smoothie (Large),4,70
Mango Pineapple Smoothie (Small),1,46
Mango Pineapple Smoothie (Medium),1,56
Mango Pineapple Smoothie (Large),2,72
Vanilla Shake (Small),0,63
Vanilla Shake (Medium),0,81
Vanilla Shake (Large),0,101
Strawberry Shake (Small),0,79
Strawberry Shake (Medium),0,100
Strawberry Shake (Large),0,123
Chocolate Shake (Small),1,77
Chocolate Shake (Medium),2,97
Chocolate Shake (Large),2,120
Shamrock Shake (Medium),0,93
Shamrock Shake (Large),0,115
McFlurry with M&M’s Candies (Small),1,89
McFlurry with M&M’s Candies (Medium),2,128
McFlurry with M&M’s Candies (Snack),1,59
McFlurry with Oreo Cookies (Small),1,64
McFlurry with Oreo Cookies (Medium),1,85
McFlurry with Oreo Cookies (Snack),1,43
McFlurry with Reese's Peanut Butter Cups (Medium),2,103
McFlurry with Reese's Peanut Butter Cups (Snack),1,51
