Item,Dietary Fiber,Sugars
French Vanilla Latte (Large),0.142857,0.4375
Latte with Sugar Free French Vanilla Syrup (Small),0.142857,0.09375
Latte with Sugar Free French Vanilla Syrup (Medium),0.142857,0.117188
Latte with Sugar Free French Vanilla Syrup (Large),0.285714,0.15625
Nonfat Latte (Small),0.142857,0.101563
Nonfat Latte (Medium),0.142857,0.125
Nonfat Latte (Large),0.142857,0.164063
Nonfat Caramel Latte (Small),0.142857,0.304688
Nonfat Caramel Latte (Medium),0.142857,0.375
Nonfat Caramel Latte (Large),0.142857,0.460938
Nonfat Hazelnut Latte (Small),0.142857,0.296875
Nonfat Hazelnut Latte (Medium),0.142857,0.375
Nonfat Hazelnut Latte (Large),0.142857,0.460938
Nonfat French Vanilla Latte (Small),0.142857,0.289063
Nonfat French Vanilla Latte (Medium),0.142857,0.359375
Nonfat French Vanilla Latte (Large),0.142857,0.4375
Nonfat Latte with Sugar Free French Vanilla Syrup (Small),0.142857,0.101563
Nonfat Latte with Sugar Free French Vanilla Syrup (Medium),0.142857,0.125
Nonfat Latte with Sugar Free French Vanilla Syrup (Large),0.285714,0.164063
Mocha (Small),0.285714,0.328125
Mocha (Medium),0.285714,0.414063
Mocha (Large),0.285714,0.492188
Mocha with Nonfat Milk (Small),0.285714,0.335938
Mocha with Nonfat Milk (Medium),0.285714,0.414063
Mocha with Nonfat Milk (Large),0.285714,0.5
Caramel Mocha (Small),0.142857,0.3125
Caramel Mocha (Medium),0.142857,0.390625
Caramel Mocha (Large),0.142857,0.46875
Nonfat Caramel Mocha (Small),0.142857,0.320313
Nonfat Caramel Mocha (Medium),0.142857,0.398438
Nonfat Caramel Mocha (Large),0.142857,0.476563
Hot Chocolate (Small),0.142857,0.351563
Hot Chocolate (Medium),0.142857,0.4375
Hot Chocolate (Large),0.142857,0.53125
Hot Chocolate with Nonfat Milk (Small),0.142857,0.359375
Hot Chocolate with Nonfat Milk (Medium),0.142857,0.445313
Hot Chocolate with Nonfat Milk (Large),0.142857,0.539063
Regular Iced Coffee (Small),0,0.171875
Regular Iced Coffee (Medium),0,0.234375
Regular Iced Coffee (Large),0,0.351563
Caramel Iced Coffee (Small),0,0.164063
Caramel Iced Coffee (Medium),0,0.21875
Caramel Iced Coffee (Large),0,0.328125
Hazelnut Iced Coffee (Small),0,0.15625
Hazelnut Iced Coffee (Medium),0,0.21875
Hazelnut Iced Coffee (Large),0,0.320313
French Vanilla Iced Coffee (Small),0,0.148438
French Vanilla Iced Coffee (Medium),0,0.203125
French Vanilla Iced Coffee (Large),0,0.304688
Iced Coffee with Sugar Free French Vanilla Syrup (Small),0,0.0078125
Iced Coffee with Sugar Free French Vanilla Syrup (Medium),0,0.015625
Iced Coffee with Sugar Free French Vanilla Syrup (Large),0,0.015625
Iced Mocha (Small),0.142857,0.265625
Iced Mocha (Medium),0.142857,0.335938
Iced Mocha (Large),0.285714,0.484375
Iced Mocha with Nonfat Milk (Small),0.142857,0.273438
Iced Mocha with Nonfat Milk (Medium),0.142857,0.335938
Iced Mocha with Nonfat Milk (Large),0.285714,0.484375
Iced Caramel Mocha (Small),0,0.257813
Iced Caramel Mocha (Medium),0.142857,0.320313
Iced Caramel Mocha (Large),0.142857,0.460938
Iced Nonfat Caramel Mocha (Small),0,0.257813
Iced Nonfat Caramel Mocha (Medium),0.142857,0.320313
Iced Nonfat Caramel Mocha (Large),0.142857,0.460938
Frappé Mocha (Small),0.142857,0.445313
Frappé Mocha (Medium),0.142857,0.554688
Frappé Mocha (Large),0.142857,0.6875
Frappé Caramel (Small),0,0.445313
Frappé Caramel (Medium),0,0.554688
Frappé Caramel (Large),0,0.6875
Frappé Chocolate Chip (Small),0.142857,0.523438
Frappé Chocolate Chip (Medium),0.142857,0.632813
Frappé Chocolate Chip (Large),0.142857,0.773438
Blueberry Pomegranate Smoothie (Small),0.428571,0.34375
Blueberry Pomegranate Smoothie (Medium),0.571429,0.421875
Blueberry Pomegranate Smoothie (Large),0.714286,0.546875
Strawberry Banana Smoothie (Small),0.428571,0.34375
Strawberry Banana Smoothie (Medium),0.428571,0.421875
Strawberry Banana Smoothie (Large),0.571429,0.546875
Mango Pineapple Smoothie (Small),0.142857,0.359375
Mango Pineapple Smoothie (Medium),0.142857,0.4375
Mango Pineapple Smoothie (Large),0.285714,0.5625
Vanilla Shake (Small),0,0.492188
Vanilla Shake (Medium),0,0.632813
Vanilla Shake (Large),0,0.789063
Strawberry Shake (Small),0,0.617188
Strawberry Shake (Medium),0,0.78125
Strawberry Shake (Large),0,0.960938
Chocolate Shake (Small),0.142857,0.601563
Chocolate Shake (Medium),0.285714,0.757813
Chocolate Shake (Large),0.285714,0.9375
Shamrock Shake (Medium),0,0.726563
Shamrock Shake (Large),0,0.898438
McFlurry with M&M’s Candies (Small),0.142857,0.695313
McFlurry with M&M’s Candies (Medium),0.285714,1
McFlurry with M&M’s Candies (Snack),0.142857,0.460938
McFlurry with Oreo Cookies (Small),0.142857,0.5
McFlurry with Oreo Cookies (Medium),0.142857,0.664063
McFlurry with Oreo Cookies (Snack),0.142857,0.335938
McFlurry with Reese's Peanut Butter Cups (Medium),0.285714,0.804688
McFlurry with Reese's Peanut Butter Cups (Snack),0.142857,0.398438
